Session,Brain Area,Analysis Type,Test Accuracy
"('0301', '20180323')",S1,LICK,68.75
"('0406', '20180409')",S1,LICK,81.25
"('0406', '20180503')",S1,LICK,62.5
"('0406', '20180620')",S1,LICK,68.75
"('0410', '20180427')",S1,LICK,78.125
"('0531', '20180517')",S1,LICK,65.0
"('0531', '20180518')",S1,LICK,83.33333333333333
"('0588', '20180828')",S1,LICK,79.16666666666667
"('0588', '20180831')",S1,LICK,85.9375
"('0588', '20180904')",S1,LICK,72.91666666666667
"('0588', '20180906')",S1,LICK,91.07142857142857
"('0588', '20180925')",S1,LICK,65.625
"('0588', '20180928')",S1,LICK,55.208333333333336
"('0588', '20181001')",S1,LICK,47.5
"('0588', '20181002')",S1,LICK,76.78571428571429
"('0756', '20180823')",S1,LICK,45.833333333333336
"('0756', '20180925')",S1,LICK,62.5
"('0756', '20180927')",S1,LICK,77.5
"('0756', '20180928')",S1,LICK,76.5625
"('0756', '20181001')",S1,LICK,75.0
"('0756', '20181002')",S1,LICK,75.0
"('1140', '20190611')",S1,LICK,70.83333333333333
"('1140', '20190612')",S1,LICK,64.58333333333333
"('1140', '20190613')",S1,LICK,79.16666666666667
"('1140', '20190614')",S1,LICK,75.0
"('0301', '20180323')",S1,GO,34.375
"('0406', '20180409')",S1,GO,75.0
"('0406', '20180503')",S1,GO,52.5
"('0406', '20180620')",S1,GO,43.75
"('0410', '20180427')",S1,GO,55.208333333333336
"('0410', '20180503')",S1,GO,53.75
"('0531', '20180517')",S1,GO,55.0
"('0531', '20180518')",S1,GO,64.58333333333333
"('0588', '20180828')",S1,GO,65.625
"('0588', '20180831')",S1,GO,58.59375
"('0588', '20180904')",S1,GO,40.625
"('0588', '20180906')",S1,GO,73.21428571428571
"('0588', '20180925')",S1,GO,45.3125
"('0588', '20180928')",S1,GO,51.041666666666664
"('0588', '20181001')",S1,GO,50.0
"('0588', '20181002')",S1,GO,55.357142857142854
"('0756', '20180823')",S1,GO,54.166666666666664
"('0756', '20180925')",S1,GO,50.0
"('0756', '20180927')",S1,GO,48.75
"('0756', '20180928')",S1,GO,57.8125
"('0756', '20181001')",S1,GO,58.035714285714285
"('0756', '20181002')",S1,GO,54.166666666666664
"('1140', '20190611')",S1,GO,41.666666666666664
"('1140', '20190612')",S1,GO,61.458333333333336
"('1140', '20190613')",S1,GO,45.833333333333336
"('1140', '20190614')",S1,GO,56.25
"('1218', '20190701')",S1naive,GO,43.75
"('1218', '20190705')",S1naive,GO,50.0
"('1218', '20190712')",S1naive,GO,59.375
"('1218', '20190715')",S1naive,GO,43.75
"('1260', '20190814')",S1naive,GO,62.5
"('1260', '20190816')",S1naive,GO,62.5
"('1268', '20190813')",S1naive,GO,62.5
"('1268', '20190814')",S1naive,GO,56.25
"('1268', '20190816')",S1naive,GO,50.0
"('1268', '20190820')",S1naive,GO,75.0
"('1298', '20190919')",S1naive,GO,37.5
"('1298', '20190920')",S1naive,GO,52.083333333333336
"('1298', '20190923')",S1naive,GO,50.0
"('1298', '20190924')",S1naive,GO,46.875
"('1218', '20190712')",S1naive,LICK,64.0625
"('1218', '20190715')",S1naive,LICK,60.9375
"('1260', '20190816')",S1naive,LICK,68.75
"('1268', '20190813')",S1naive,LICK,50.0
"('1268', '20190814')",S1naive,LICK,56.25
"('1268', '20190816')",S1naive,LICK,77.08333333333333
"('1268', '20190820')",S1naive,LICK,56.25
"('1298', '20190920')",S1naive,LICK,66.66666666666667
"('1298', '20190923')",S1naive,LICK,71.875
"('1298', '20190924')",S1naive,LICK,59.375
"('0588', '20181003')",PPC,GO,67.70833333333333
"('0588', '20181005')",PPC,GO,47.916666666666664
"('0588', '20181009')",PPC,GO,43.75
"('0588', '20181012')",PPC,GO,48.4375
"('0588', '20181015')",PPC,GO,54.6875
"('0588', '20181017')",PPC,GO,43.75
"('0588', '20181026')",PPC,GO,45.535714285714285
"('0756', '20181004')",PPC,GO,81.25
"('0756', '20181005')",PPC,GO,45.0
"('0756', '20181017')",PPC,GO,42.1875
"('0756', '20181018')",PPC,GO,60.416666666666664
"('0756', '20181019')",PPC,GO,47.916666666666664
"('0756', '20181022')",PPC,GO,50.0
"('0756', '20181025')",PPC,GO,48.4375
"('0756', '20181026')",PPC,GO,43.75
"('0756', '20181028')",PPC,GO,47.916666666666664
"('0588', '20181003')",PPC,LICK,85.41666666666667
"('0588', '20181005')",PPC,LICK,79.16666666666667
"('0588', '20181009')",PPC,LICK,65.625
"('0588', '20181012')",PPC,LICK,64.0625
"('0588', '20181015')",PPC,LICK,45.3125
"('0588', '20181017')",PPC,LICK,64.58333333333333
"('0588', '20181026')",PPC,LICK,58.92857142857143
"('0756', '20181005')",PPC,LICK,73.75
"('0756', '20181017')",PPC,LICK,82.8125
"('0756', '20181018')",PPC,LICK,95.83333333333333
"('0756', '20181025')",PPC,LICK,73.4375
