# Expt,Accuracy,Rank
12182019071215.0,0.5768115942028985,87.0
12182019071218.0,0.45724637681159414,13.0
12182019071219.0,0.45688405797101445,4.0
12182019071209.0,0.5347826086956522,64.0
12182019071514.0,0.4894542090656799,22.0
12182019071515.0,0.5799259944495837,96.0
12182019071518.0,0.5322849213691028,76.0
12182019071522.0,0.5497687326549491,76.0
12182019071529.0,0.476040703052729,13.0
12182019071530.0,0.5456059204440333,78.0
12182019071542.0,0.5321924144310823,63.0
12182019071543.0,0.4765032377428307,30.0
12182019071548.0,0.576040703052729,97.0
12182019071549.0,0.5538390379278446,88.0
12182019071550.0,0.537095282146161,72.0
12182019071576.0,0.532654949121184,66.0
12182019071508.0,0.5366327474560592,73.0
12182019071509.0,0.48889916743755785,21.0
12602019081610.0,0.4751633986928104,15.0
12602019081611.0,0.5450980392156863,60.0
12602019081612.0,0.46535947712418296,18.0
12602019081614.0,0.4673202614379085,6.0
12602019081615.0,0.4751633986928104,19.0
12602019081616.0,0.5254901960784315,60.0
12602019081618.0,0.6366013071895424,94.0
12602019081620.0,0.5215686274509804,43.0
12602019081623.0,0.5241830065359477,45.5
12602019081625.0,0.5601307189542484,69.0
12602019081626.0,0.49869281045751634,36.0
12602019081627.0,0.5013071895424838,32.0
12602019081628.0,0.4882352941176471,25.0
12602019081629.0,0.4901960784313725,25.0
12602019081630.0,0.5483660130718955,58.0
12602019081631.0,0.5222222222222224,48.0
12602019081632.0,0.41830065359477125,4.0
12602019081634.0,0.5673202614379085,72.0
12602019081636.0,0.5111111111111111,35.0
12602019081639.0,0.5130718954248366,50.0
12602019081604.0,0.5784313725490196,80.0
12602019081640.0,0.5575163398692811,67.5
12602019081647.0,0.5934640522875817,86.0
12602019081650.0,0.5823529411764705,81.0
12602019081651.0,0.5699346405228759,75.0
12602019081652.0,0.5098039215686275,30.0
12602019081653.0,0.5581699346405229,57.0
12602019081654.0,0.48954248366013076,33.0
12602019081655.0,0.5235294117647059,46.0
12602019081658.0,0.5477124183006536,58.0
12602019081606.0,0.54640522875817,51.5
12602019081660.0,0.6856209150326797,97.5
12602019081663.0,0.5359477124183007,58.0
12602019081668.0,0.5934640522875818,84.0
12602019081670.0,0.5,30.0
12602019081609.0,0.5320261437908497,50.0
12602019081698.0,0.465359477124183,11.0
12682019081311.0,0.5696969696969696,49.0
126820190813123.0,0.503030303030303,22.0
12682019081313.0,0.5333333333333333,36.0
12682019081315.0,0.6075757575757577,72.0
12682019081322.0,0.6439393939393939,90.0
12682019081323.0,0.48484848484848486,13.5
12682019081329.0,0.5318181818181817,24.0
12682019081331.0,0.6257575757575757,83.5
12682019081332.0,0.6409090909090909,85.0
12682019081340.0,0.6984848484848485,96.0
12682019081341.0,0.5166666666666667,34.0
12682019081361.0,0.443939393939394,2.0
12682019081307.0,0.6045454545454545,72.0
12682019081371.0,0.6409090909090909,85.0
12682019081372.0,0.6121212121212121,76.0
12682019081308.0,0.49696969696969695,13.0
12682019081397.0,0.4818181818181818,13.0
12682019081410.0,0.43636363636363634,5.5
12682019081411.0,0.5454545454545454,53.0
12682019081412.0,0.47272727272727266,11.5
12682019081413.0,0.5636363636363636,66.0
12682019081414.0,0.4727272727272728,14.5
12682019081415.0,0.509090909090909,27.0
12682019081417.0,0.5454545454545454,47.0
12682019081418.0,0.6000000000000001,82.0
12682019081420.0,0.6363636363636364,95.5
12682019081421.0,0.5272727272727272,39.5
12682019081422.0,0.5454545454545455,73.0
12682019081423.0,0.5636363636363637,72.5
12682019081424.0,0.4727272727272728,20.5
12682019081426.0,0.509090909090909,26.5
12682019081427.0,0.47272727272727266,11.5
12682019081428.0,0.6181818181818182,91.5
12682019081403.0,0.49090909090909085,21.0
12682019081430.0,0.5818181818181818,73.5
12682019081434.0,0.6181818181818182,85.0
12682019081439.0,0.5272727272727272,45.0
12682019081443.0,0.5636363636363636,59.5
12682019081445.0,0.4909090909090909,22.0
12682019081446.0,0.5818181818181818,76.5
12682019081448.0,0.5636363636363637,76.0
12682019081449.0,0.43636363636363634,3.5
12682019081451.0,0.4727272727272728,9.0
12682019081453.0,0.5272727272727271,35.0
12682019081454.0,0.5999999999999999,76.0
12682019081460.0,0.5818181818181818,76.5
12682019081407.0,0.5454545454545454,54.5
12682019081408.0,0.5272727272727272,42.5
12682019081485.0,0.4909090909090909,20.5
12682019081487.0,0.6181818181818182,90.0
12682019081495.0,0.509090909090909,31.0
12682019081497.0,0.47272727272727266,10.5
12682019081498.0,0.43636363636363634,6.5
12682019081610.0,0.5333333333333333,51.0
12682019081612.0,0.4666666666666667,18.0
12682019081613.0,0.6833333333333333,96.0
12682019081616.0,0.4833333333333333,28.0
12682019081617.0,0.5333333333333333,58.5
12682019081618.0,0.5333333333333333,64.5
12682019081619.0,0.4666666666666667,29.5
12682019081620.0,0.5,47.0
12682019081621.0,0.5333333333333333,56.0
12682019081622.0,0.65,85.0
12682019081623.0,0.5333333333333333,51.0
12682019081624.0,0.5333333333333333,53.5
12682019081625.0,0.5833333333333333,77.5
12682019081629.0,0.5333333333333333,64.0
12682019081603.0,0.5166666666666667,49.0
12682019081630.0,0.4666666666666667,18.5
12682019081635.0,0.5333333333333333,55.0
12682019081639.0,0.5833333333333333,79.5
12682019081641.0,0.4666666666666667,22.0
12682019081642.0,0.4666666666666667,15.0
12682019081648.0,0.6,82.0
12682019081605.0,0.5166666666666667,42.0
12682019081650.0,0.4,5.0
12682019081651.0,0.7333333333333333,98.5
12682019081652.0,0.5833333333333333,73.0
12682019081607.0,0.5333333333333333,49.5
12682019081608.0,0.4166666666666667,21.0
12682019081609.0,0.6166666666666667,83.0
12682019081691.0,0.5833333333333333,71.5
12682019081692.0,0.4,9.5
12682019082011.0,0.5258823529411764,46.0
12682019082012.0,0.461344537815126,3.0
12682019082016.0,0.5021848739495799,37.0
12682019082017.0,0.5262184873949579,55.0
12682019082022.0,0.5206722689075629,54.0
12682019082025.0,0.479327731092437,15.0
12682019082043.0,0.4919327731092437,29.0
12682019082047.0,0.5563025210084034,84.0
12682019082005.0,0.46756302521008397,15.0
12682019082051.0,0.5324369747899159,62.0
12682019082055.0,0.6667226890756301,100.0
12682019082056.0,0.6030252100840336,98.0
12682019082057.0,0.485546218487395,21.0
12682019082065.0,0.4794957983193277,23.0
12682019082008.0,0.5440336134453782,65.0
12682019082084.0,0.6379831932773109,100.0
12982019092010.0,0.5794736842105264,81.0
12982019092011.0,0.5789473684210525,80.0
12982019092012.0,0.4631578947368421,13.0
12982019092013.0,0.5157894736842106,43.0
12982019092014.0,0.4957894736842105,31.0
12982019092015.0,0.6073684210526316,88.0
12982019092016.0,0.7215789473684211,100.0
12982019092019.0,0.7115789473684211,100.0
12982019092020.0,0.5252631578947369,56.0
12982019092023.0,0.6805263157894738,99.0
12982019092024.0,0.5252631578947369,42.0
12982019092025.0,0.6078947368421053,90.0
12982019092027.0,0.5052631578947369,43.0
12982019092030.0,0.5478947368421052,63.0
12982019092033.0,0.6378947368421053,93.0
12982019092038.0,0.5773684210526315,86.0
12982019092040.0,0.6194736842105264,98.0
12982019092049.0,0.46421052631578946,12.0
12982019092062.0,0.6305263157894737,93.0
12982019092063.0,0.6473684210526316,100.0
12982019092066.0,0.4968421052631579,30.0
12982019092071.0,0.6178947368421053,93.0
12982019092085.0,0.5878947368421052,91.0
12982019092087.0,0.5463157894736842,61.0
12982019092091.0,0.6094736842105263,92.0
12982019092092.0,0.6489473684210527,99.0
12982019092314.0,0.5896774193548386,88.0
12982019092316.0,0.5638709677419355,80.0
12982019092323.0,0.5636559139784947,83.0
12982019092326.0,0.6223655913978494,99.0
12982019092327.0,0.601720430107527,95.0
12982019092328.0,0.5101075268817203,44.0
12982019092348.0,0.5838709677419355,93.0
12982019092368.0,0.6023655913978494,92.0
12982019092307.0,0.43677419354838715,2.0
12982019092410.0,0.6,100.0
12982019092412.0,0.5492063492063491,85.0
12982019092413.0,0.6095238095238095,100.0
12982019092414.0,0.5809523809523809,98.0
12982019092420.0,0.5079365079365079,51.0
12982019092421.0,0.5746031746031746,97.5
12982019092423.0,0.6476190476190476,100.0
12982019092426.0,0.580952380952381,100.0
12982019092427.0,0.5396825396825397,82.0
12982019092428.0,0.634920634920635,100.0
12982019092429.0,0.634920634920635,100.0
12982019092430.0,0.5460317460317461,80.0
12982019092431.0,0.4920634920634921,30.0
12982019092432.0,0.619047619047619,100.0
12982019092433.0,0.5396825396825398,81.0
12982019092434.0,0.5111111111111111,50.0
12982019092435.0,0.5492063492063493,86.5
12982019092436.0,0.5460317460317461,85.0
12982019092442.0,0.6603174603174604,100.0
12982019092450.0,0.4825396825396825,21.0
12982019092454.0,0.5396825396825397,77.0
12982019092456.0,0.6539682539682541,100.0
12982019092457.0,0.5206349206349206,59.0
12982019092461.0,0.5365079365079366,74.5
12982019092465.0,0.4984126984126984,38.0
12982019092466.0,0.5904761904761905,98.0
12982019092469.0,0.5396825396825398,83.0
12982019092407.0,0.5555555555555556,93.5
12982019092473.0,0.5365079365079366,74.0
12982019092480.0,0.5460317460317461,83.0
12982019092485.0,0.5492063492063493,87.0
12982019092488.0,0.5809523809523809,97.0
12982019092489.0,0.5238095238095238,60.0
12982019092490.0,0.5460317460317461,87.5
